nombre,precio,categoria,imagen_url
Croquetas de Pollo,350,Alimentos,
Pan con Ajo,120,Alimentos,
Deditos de Pollo,525,Alimentos,
Deditos de pescado,650,Alimentos,
Calamar Frito,540,Alimentos,
Canasta de Camarones,750,Alimentos,
Canasta de Pollo,625,Alimentos,
Ceviche de Pescado,645,Alimentos,
Ceviche de Camarón,690,Alimentos,
Cóctel de Camarones,750,Alimentos,
Sopa de Pollo,500,Alimentos,
Sopa de Mariscos,1200,Alimentos,
Sopa de pescado,650,Alimentos,
Ensalada Verde,350,Alimentos,
Ensalada César,590,Alimentos,
Tostones,140,Alimentos,
Papas Fritas,140,Alimentos,
Papas Salteadas,160,Alimentos,
Vegetales Salteados,140,Alimentos,
Arroz Blanco,140,Alimentos,
Mango,140,Alimentos,
Chillo,900,Alimentos,
Salmón,1200,Alimentos,
Colirrubia,750,Alimentos,
Butú,700,Alimentos,
Filete de Mero,700,Alimentos,
Dorado en Rueda,700,Alimentos,
Pechuga a la Plancha,690,Alimentos,
Pechuga Golden Blue,775,Alimentos,
Pechurina,550,Alimentos,
Pechuga Mar & Tierra,1000,Alimentos,
Pechuga al Limón y Pimienta,690,Alimentos,
Pechuga a la Crema,750,Alimentos,
Alitas,575,Alimentos,
Chuleta,500,Alimentos,
Pasta Roja con Camarones,800,Alimentos,
Pasta Alfredo de Pollo,700,Alimentos,
Pasta Alfredo de Camarones,800,Alimentos,
Boloñesa,790,Alimentos,
Pasta al Pesto,700,Alimentos,
Pasta Mar & Tierra,800,Alimentos,
Langosta al Ajillo,1200,Alimentos,
Langosta a la Crema,1200,Alimentos,
Langosta a la Vinagreta,1200,Alimentos,
Pulpo a la Crema,800,Alimentos,
Pulpo a la Criolla,800,Alimentos,
Pulpo al Ajillo,800,Alimentos,
Pulpo a la Plancha,800,Alimentos,
Camarones al Ajillo,700,Alimentos,
Camarones a la Criolla,700,Alimentos,
Camarones a la Crema,700,Alimentos,
Camarones a la Vinagreta,700,Alimentos,
Camarones Guisados,700,Alimentos,
Camarones Fritos Empanizados,700,Alimentos,
Arroz Frito con Camarones,650,Alimentos,
Arroz Frito con Pollo,550,Alimentos,
Arroz Frito Mixto,700,Alimentos,
Lambé a la Criolla,790,Alimentos,
Lambé a la Vinagreta,790,Alimentos,
Lambé Molido,790,Alimentos,
Lambé al Ajillo,790,Alimentos,
Lambé a la Plancha,800,Alimentos,
Mofongo de Camarones,890,Alimentos,
Mofongo de Pollo,790,Alimentos,
Mofongo de Pulpo,890,Alimentos,
Mofongo de Lambé,890,Alimentos,
"Mofongo Mix (Pollo, Lambé, Camarones, Pulpo)",890,Alimentos,
Paella Marinera (2 Personas),1650,Alimentos,
Picadera Mar y Tierra,2050,Alimentos,
Cazuela de Mariscos,1490,Alimentos,
Jugos Naturales,130,Bar,
Jugo Mott Grande,350,Bar,
Jugo Mott Pequeño,200,Bar,
Gatorade,80,Bar,
Coca-Cola / Sprite,75,Bar,
Botella de Agua,55,Bar,
Soda / Tónica,80,Bar,
Red Bull Grande,220,Bar,
Presidente Grande,220,Bar,
Presidente Pequeña,165,Bar,
Miller,220,Bar,
Corona,220,Bar,
Modelo,220,Bar,
Smirnoff Ice,220,Bar,
Piña Colada con Alcohol,450,Bar,
Piña Colada sin Alcohol,300,Bar,
Mojito,350,Bar,
Margarita,490,Bar,
Cuba Libre,340,Bar,
Fireball,300,Bar,
Caipiriña,300,Bar,
Frontera Blanco,850,Bar,
Carlo Rossi Tinto,800,Bar,
Carlo Rossi Blanco,800,Bar,
Carlo Rossi Rosé,800,Bar,
JP Chanel Rosé,2200,Bar,
JP Chanel Blanco,2200,Bar,
Baileys,1900,Bar,
Stolichnaya,1900,Bar,
Grey Goose,3500,Bar,
Absolut,1900,Bar,
Buchanan's 12 Años,3700,Bar,
Old Parr 12 Años,3800,Bar,
Black Label 12 Años,3800,Bar,
Chivas 12 Años,3900,Bar,
Something Special,1800,Bar,
XV Grande,1400,Bar,
XV Pequeño,700,Bar,
Brugal Extra Viejo,1400,Bar,
Brugal Extra Viejo Pequeño,700,Bar,
Leyenda,1800,Bar,
Doble Reserva,1800,Bar,
Patrón Silver,5000,Bar,
José Cuervo,3000,Bar,
Jarana,2000,Bar,
