nombre,precio,categoria
PAPAS SALTEADAS,160,Entradas y Picaderas
CROQUETAS DE POLLO,350,Entradas y Picaderas
PAN CON AJO,120,Entradas y Picaderas
DEDITOS DE POLLO,525,Entradas y Picaderas
DEDITOS DE PESCADOS,650,Entradas y Picaderas
CANASTA DE POLLO,625,Entradas y Picaderas
CALAMAR FRITO,540,Entradas y Picaderas
CEVICHE DE PESCADO,645,Ceviches y Cocteles
CEVICHE DE CAMARON,690,Ceviches y Cocteles
CANASTA DE CAMARONES,750,Entradas y Picaderas
COCTEL DE CAMARONES,750,Ceviches y Cocteles
SOPA DE POLLO,500,Sopas y Ensaladas
SOPA DE MARISCO,1200,Sopas y Ensaladas
SOPA DE PESCADO,650,Sopas y Ensaladas
ENSALADA VERDE,350,Sopas y Ensaladas
ENSALADA CESAR,590,Sopas y Ensaladas
TOSTONESA50A18:A216,140,Guarniciones
PAPAS FRITAS,140,Guarniciones
ARROZ BLANCO,140,Guarniciones
ESPECIAL CHILLO 2X1,1250,Platos Principales
SALMON,1200,Platos Principales
COLIRRUBIA LBS.,750,Platos Principales
ESPECIAL BUTÚ LB,700,Platos Principales
FILETE DE MERO,700,Platos Principales
DORADO EN RUEDA,700,Platos Principales
MERLUZA en RUEDAS,650,Platos Principales
PECHUGA DE POLLO A LA PLANCHA,690,Platos Principales
PECHURINAS,650,Entradas y Picaderas
ALITAS DE POLLO,575,Platos Principales
CHULETA FRESCA,600,Platos Principales
PECHUGA DE POLLO A LA CRIOLLA,775,Platos Principales
PECHUGA DE POLLO A LA PARRILLA,750,Platos Principales
PASTA ROJA CON CAMARONES,800,Pastas
PASTA ALFREDO DE POLLO,700,Pastas
PASTA ALFREDO DE CAMARONES,800,Pastas
PASTA A LA BOLOÑESA,790,Pastas
PASTA AL PESTO,700,Pastas
CAMARONES,700,Platos Principales
PAELLA MARINERA 2 P,1650,Platos Principales
PICADERA MAR Y TIERRA,2050,Entradas y Picaderas
CASUELA DE MARISCOS,1490,Platos Principales
MOFONGO DE POLLO,790,Mofongos y Platos Criollos
MOFONGO DE CAMARONES,890,Mofongos y Platos Criollos
LAMBI A LA VINAGRETA,790,Platos Principales
JUGOS NATURALES,130,Bebidas Sin Alcohol
PERRIER GDE,350,Bebidas Sin Alcohol
PERRIER PQ,175,Bebidas Sin Alcohol
JUGO MOTT'S GD,350,Bebidas Sin Alcohol
JUGO MOTT'S PQ,200,Bebidas Sin Alcohol
GATORADE,80,Bebidas Sin Alcohol
COCA COLA,75,Bebidas Sin Alcohol
SPRITE,75,Bebidas Sin Alcohol
BOTELLA DE AGUA,55,Bebidas Sin Alcohol
SODA,80,Bebidas Sin Alcohol
TONICA,80,Bebidas Sin Alcohol
REDBULL GD,220,Bebidas Sin Alcohol
PRESIDENTE GDE,220,Cervezas
PRESIDENTE PQ,165,Cervezas
MILLER,220,Cervezas
CORONA,220,Cervezas
MODELO,220,Cervezas
SMIRNOFF,220,Cervezas
XV GDE,1400,Licores y Botellas
XV PQ,700,Licores y Botellas
BRUGAL EXTRAVIEJO GDE,1400,Licores y Botellas
BRUGAL EXTRAVIEJO PQ,700,Licores y Botellas
LEYENDA,1800,Licores y Botellas
DOBLE RESERVA,1800,Licores y Botellas
PATRON SILVER,5000,Licores y Botellas
JOSE CUERVO,3000,Licores y Botellas
JARANA,2000,Licores y Botellas
PI��A COLADA SIN ALCOHOL,300,Bebidas Sin Alcohol
PI��A COLADA CON ALCOHOL,450,Coccteles y Bebidas Preparadas
MOJITO (COCO LIMON CEREZA),450,Coccteles y Bebidas Preparadas
MARGARITA,490,Coccteles y Bebidas Preparadas
CUBA LIBRE,340,Coccteles y Bebidas Preparadas
BUCHANAN'S 12 AÑOS,350,Licores y Botellas
OLD PARR TRAGO,350,Licores y Botellas
TEQUILA JARANA,300,Licores y Botellas
CHIVAS 12 AÑOS TRAGO,350,Licores y Botellas
